label	1st	2nd	3rd	4th	5th
ซุปกิมจิ	K10 ไก่ทอดเกาหลี (0.71)	D01 ลาเวนเดอร์เลมอนเนด (0.71)	D02 ฮันนี่แอปเปิ้ลโซดา (0.69)	S05 ปลาหมึกทอด รสเกลือกระเทียม (0.50)	M01 ข้าวยำบิบิมบับ (0.48)
K15 ไก่ทอดเกาหลี	C10 สะโพก ไก่ทอดเกาหลี (0.55)	D13 น้ำอัดลม 16 ออนซ์ (0.53)	N10 บะหมี่ไก่ทอดชุปกระดูกหมูข้น (0.52)	D08 แตงโมโซดา (0.50)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.48)
R10 ข้าวทะเลทอดราดซอสเลม่อน	S04 สลัดปูอัดไข่กุ้งรสเผ็ด (0.57)	3.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมลชีส (0.52)	S04 ปลาทอดกรอบ รสเกลือกระเทียม (0.45)	C15 ผสม ไก่ทอดเกาหลี (0.44)	K06 ไก่ทอดเกาหลี (0.43)
M02 ต๊อกบกกีชีส	N05 บะหมี่แห้งไก่ทอดชีส (0.46)	ข้าวไก่ทอดเทอริยากิมาโย ไข่ข้นลาวา (0.46)	M01 ข้าวยำบิบิมบับ (0.45)	K11 ไก่ทอดเกาหลี (0.45)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.43)
C11 สะโพก ไก่ทอดเกาหลี	C03 ปีก ไก่ทอดเกาหลี (0.61)	K16 ไก่ทอดเกาหลี (0.52)	K09 ไก่ทอดเกาหลี (0.51)	D03 พิงค์เลม่อนฮันนี่โซดา (0.50)	C10 สะโพก ไก่ทอดเกาหลี (0.45)
K08 ไก่ทอดเกาหลี	A02 ผงกิมจิ/เฟรนช์ฟรายส์ (0.39)	K05 ไก่ทอดเกาหลี (0.34)	K12 ไก่ทอดเกาหลี (0.30)	A01 โควสลอว์ (0.29)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.26)
K06 ไก่ทอดเกาหลี	A07 ทาโกยากิ (0.64)	A09 ไก่ป๊อปเกาหลี (0.54)	ข้าวไก่ทอดสามสี ไข่ข้นลาวา (0.48)	S04 สลัดปูอัดไข่กุ้งรสเผ็ด (0.45)	R10 ข้าวทะเลทอดราดซอสเลม่อน (0.43)
K11 ไก่ทอดเกาหลี	ข้าวไก่ทอดเทอริยากิมาโย ไข่ข้นลาวา (0.58)	ข้าวผัดกิมจิและแฮมไก่ทอด (0.58)	ข้าวไก่ทอดลาบสามสี ไข่ดองซี้ว + น้ำอัดลม (0.52)	N05 บะหมี่แห้งไก่ทอดชีส (0.50)	M02 ต๊อกบกกีชีส (0.45)
R06 ข้าวไก่ทอดราดซอสส้ม	N02 บะหมี่เกาหลีน้ำ (0.47)	A10 ไก่ป๊อปราดชีสซอส (0.42)	D13 น้ำอัดลม 16 ออนซ์ (0.41)	A07 ทาโกยากิ (0.40)	C15 ผสม ไก่ทอดเกาหลี (0.39)
N03 บะหมี่ผัดกิมจิปูอัดไข่กุ้ง	A01 เฟรนซ์ฟรายโรยชีส (0.65)	N05 บะหมี่แห้งไก่ทอดชีส (0.58)	ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว (0.57)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.56)	M03 ซุปกิมจิ (0.40)
K14 ไก่ทอดเกาหลี	ปีกไก่ทอดรสลาบ Size S (0.54)	D07 บ๊วยโซดา (0.53)	A09 ไก่ป๊อปเกาหลี (0.47)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.46)	ข้าวไก่ทอดและกิมจิ (0.43)
N08 บะหมี่กิมจิ เต้าหู้ปลา ชุปกระดูกหมูข้น	R09 ข้าวไก่ทอดรสเผ็ด และ สาหร่าย (0.45)	D08 แตงโมโซดา (0.43)	D03 พิงค์เลม่อนฮันนี่โซดา (0.42)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.42)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.39)
R03 ข้าวไก่ทอดเทอริยากิมาโย	N09 บะหมี่เกี๊ยวมันดู ชุปกระดูกหมูข้น (0.91)	ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.74)	ข้าวผัดกิมจิไก่ทอดชีส (0.58)	ข้าวไก่ทอดลาบสามสี ไข่ดองซี้ว + น้ำอัดลม (0.52)	A05 ลาวา/เฟรนช์ฟรายส์ (0.27)
R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด	D03 พิงค์เลม่อนฮันนี่โซดา (0.65)	D05 โอเซี่ยนวอเทอร์ (0.61)	C01 ปีก ไก่ทอดเกาหลี (0.60)	R05 ข้าวผัดกิมจิไก่ทอด (0.59)	K09 ไก่ทอดเกาหลี (0.57)
A01 โรยชีส/เฟรนช์ฟรายส์	K02 ไก่ทอดเกาหลี (0.46)	C12 สะโพก ไก่ทอดเกาหลี (0.44)	A07 ทาโกยากิ (0.43)	S02 ปลาหมึกทอดเกาหลี (0.43)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.42)
A05 ลาวา/เฟรนช์ฟรายส์	C01 ปีก ไก่ทอดเกาหลี (0.66)	A08 ฮ็อกไกโดชีสสติ๊ก (0.53)	ไก่ทอดเกาหลี Size Mชีส (0.49)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.49)	K09 ไก่ทอดเกาหลี (0.45)
N06 บะหมี่ แฮมและใส้กรอกชุปกระดูกหมูข้น	D03 พิงค์เลม่อนฮันนี่โซดา (0.52)	ข้าวไก่ทอดสามสี ไข่ข้นลาวา (0.49)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.46)	D13 น้ำอัดลม 16 ออนซ์ (0.46)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.45)
K01 ไก่ทอดเกาหลี	ข้าวผัดกิมจิไก่ทอดลาบ ไข่ดองซีอิ้ว (0.74)	S05 ปลาหมึกทอด รสเกลือกระเทียม (0.58)	M01 ข้าวยำบิบิมบับ (0.52)	ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา (0.46)	K09 ไก่ทอดเกาหลี (0.40)
A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม	D09 ซีทรัสโซดา (0.84)	บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ (0.73)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.68)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.61)	ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา (0.54)
K16 ไก่ทอดเกาหลี	1.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.80)	C11 สะโพก ไก่ทอดเกาหลี (0.52)	C03 ปีก ไก่ทอดเกาหลี (0.50)	S06 สลัดยำกิมจิและสาหร่าย (0.39)	C15 ผสม ไก่ทอดเกาหลี (0.38)
N05 บะหมี่แห้งไก่ทอดชีส	ข้าวผัดกิมจิและแฮมไก่ทอด (0.66)	N03 บะหมี่ผัดกิมจิปูอัดไข่กุ้ง (0.58)	A01 เฟรนซ์ฟรายโรยชีส (0.57)	ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว (0.55)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.51)
C09 สะโพก ไก่ทอดเกาหลี	A04 เฟรนซ์ฟรายซอสส้มไข่กุ้ง (0.76)	BACON CHEESY FRIES (0.70)	A07 ทาโกยากิ (0.35)	D08 แตงโมโซดา (0.35)	K09 ไก่ทอดเกาหลี (0.35)
K05 ไก่ทอดเกาหลี	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.61)	R12 ข้าวไก่ทอดสามสี (0.54)	M03 ซุปกิมจิ (0.47)	A06 เกี๊ยวซ่าเกาหลี (0.46)	K09 ไก่ทอดเกาหลี (0.45)
C10 สะโพก ไก่ทอดเกาหลี	K02 ไก่ทอดเกาหลี (0.65)	K09 ไก่ทอดเกาหลี (0.63)	D03 พิงค์เลม่อนฮันนี่โซดา (0.60)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.60)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.60)
ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว	D13 น้ำอัดลม 16 ออนซ์ (0.00)	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.00)	N06 บะหมี่ แฮมและใส้กรอกชุปกระดูกหมูข้น (0.00)	A05 ลาวา/เฟรนช์ฟรายส์ (0.00)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.00)
A03 ข้าวญี่ปุ่น	K10 ไก่ทอดเกาหลี (0.27)	D01 ลาเวนเดอร์เลมอนเนด (0.26)	D02 ฮันนี่แอปเปิ้ลโซดา (0.25)	ซุปกิมจิ (0.24)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.21)
A09 ไก่ป๊อปเกาหลี	A07 ทาโกยากิ (0.63)	D08 แตงโมโซดา (0.57)	K06 ไก่ทอดเกาหลี (0.54)	D07 บ๊วยโซดา (0.53)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.52)
A06 เกี๊ยวซ่าเกาหลี	M01 ข้าวยำบิบิมบับ (0.66)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.65)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.60)	S05 ปลาหมึกทอด รสเกลือกระเทียม (0.59)	M03 ซุปกิมจิ (0.58)
N07 บะหมี่หมูสับชุปกระดูกหมูข้น	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.46)	R09 ข้าวไก่ทอดรสเผ็ด และ สาหร่าย (0.45)	A05 กิมจิ (0.44)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.44)	A07 ทาโกยากิ (0.44)
R04 ข้าวผัดกิมจิทะเลทอด	K03 ไก่ทอดเกาหลี (0.90)	S03 ปลาทอดเกาหลี (0.80)	K10 ไก่ทอดเกาหลี (0.47)	A01 เฟรนซ์ฟรายโรยชีส (0.43)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.39)
R12 ข้าวไก่ทอดสามสี	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.60)	K05 ไก่ทอดเกาหลี (0.54)	A10 ไก่ป๊อปราดชีสซอส (0.51)	A06 เกี๊ยวซ่าเกาหลี (0.49)	C10 สะโพก ไก่ทอดเกาหลี (0.48)
